Time,Mass(Average)
1859-01-01T00:00:00.000,11238.78
1751-01-01T00:00:00.000,49000.0
1807-01-01T00:00:00.000,107750.0
2010-01-01T00:00:00.000,633.5639402985074
1971-01-01T00:00:00.000,13435.046808510637
1865-01-01T00:00:00.000,9010.125
1913-01-01T00:00:00.000,68483.81818181818
1965-01-01T00:00:00.000,22247.210869565217
1583-01-01T00:00:00.000,15000.0
1492-01-01T00:00:00.000,127000.0
1813-01-01T00:00:00.000,25442.5
1880-01-01T00:00:00.000,13009.57142857143
1797-01-01T00:00:00.000,500000.0
1994-01-01T00:00:00.000,1055.3724825662482
1668-01-01T00:00:00.000,40.0
1942-01-01T00:00:00.000,42231.445
2004-01-01T00:00:00.000,2077.74419072165
1888-01-01T00:00:00.000,26608.466666666667
1836-01-01T00:00:00.000,5229660.0
1845-01-01T00:00:00.000,67926.66666666667
1985-01-01T00:00:00.000,713.3656084656085
1927-01-01T00:00:00.000,75370.5625
1979-01-01T00:00:00.000,150.32911330049262
1851-01-01T00:00:00.000,2021.6666666666667
1716-01-01T00:00:00.000,1700.0
1894-01-01T00:00:00.000,16627.5
1936-01-01T00:00:00.000,10196.322857142857
1768-01-01T00:00:00.000,11250.0
1842-01-01T00:00:00.000,5400.0
1988-01-01T00:00:00.000,213.76131533101045
1897-01-01T00:00:00.000,22475.024999999998
1980-01-01T00:00:00.000,1675.4624000000001
1933-01-01T00:00:00.000,21089.766666666666
2101-01-01T00:00:00.000,55.0
1862-01-01T00:00:00.000,4160.0
1860-01-01T00:00:00.000,41433.36363636364
1974-01-01T00:00:00.000,314.92994211287987
1968-01-01T00:00:00.000,46250.45698113207
1856-01-01T00:00:00.000,20472.5
1854-01-01T00:00:00.000,980490.8888888889
1976-01-01T00:00:00.000,151314.742
1947-01-01T00:00:00.000,1261147.5789473683
1688-01-01T00:00:00.000,695.0
1885-01-01T00:00:00.000,30668.571428571428
1945-01-01T00:00:00.000,25584.47272727273
1883-01-01T00:00:00.000,74656.76999999999
1874-01-01T00:00:00.000,29346.666666666668
1956-01-01T00:00:00.000,66454.136
1876-01-01T00:00:00.000,20758.88888888889
1954-01-01T00:00:00.000,105386.34285714287
1794-01-01T00:00:00.000,3700.0
1960-01-01T00:00:00.000,29040.510714285716
1962-01-01T00:00:00.000,15354.877777777778
1868-01-01T00:00:00.000,28354.25
1879-01-01T00:00:00.000,42133.57142857143
1951-01-01T00:00:00.000,76127.42105263157
1953-01-01T00:00:00.000,10972.08888888889
1877-01-01T00:00:00.000,10237.555555555555
1959-01-01T00:00:00.000,28211.39375
1871-01-01T00:00:00.000,5037.571428571428
1785-01-01T00:00:00.000,3000.0
1944-01-01T00:00:00.000,32809.77777777778
1776-01-01T00:00:00.000,3000000.0
1886-01-01T00:00:00.000,18797.9
1753-01-01T00:00:00.000,10770.0
1919-01-01T00:00:00.000,23488.715384615385
1915-01-01T00:00:00.000,68486.92307692308
1925-01-01T00:00:00.000,22520.688235294117
1940-01-01T00:00:00.000,34505.95675675676
1921-01-01T00:00:00.000,246710.65000000002
1882-01-01T00:00:00.000,525156.0
1948-01-01T00:00:00.000,75001.02631578948
1724-01-01T00:00:00.000,98000.0
1931-01-01T00:00:00.000,132861.70588235295
1899-01-01T00:00:00.000,28235.928571428572
1929-01-01T00:00:00.000,53673.53333333333
1766-01-01T00:00:00.000,2000.0
1928-01-01T00:00:00.000,9022.306666666667
1895-01-01T00:00:00.000,8764.6
1938-01-01T00:00:00.000,39882.06
1400-01-01T00:00:00.000,107000.0
1715-01-01T00:00:00.000,7000.0
1939-01-01T00:00:00.000,18014.809677419355
1892-01-01T00:00:00.000,23989.727272727272
1891-01-01T00:00:00.000,3065572.5
1934-01-01T00:00:00.000,18380.444444444445
1896-01-01T00:00:00.000,87308.42
1935-01-01T00:00:00.000,15984.121052631579
1930-01-01T00:00:00.000,935695.1388888889
1723-01-01T00:00:00.000,39.0
1920-01-01T00:00:00.000,4303933.714285715
1914-01-01T00:00:00.000,40078.375
1918-01-01T00:00:00.000,44019.82857142857
1916-01-01T00:00:00.000,20214.275
1924-01-01T00:00:00.000,151184.55555555556
1576-01-01T00:00:00.000,5.0E7
1922-01-01T00:00:00.000,119175.33333333333
1904-01-01T00:00:00.000,13381.045454545454
1970-01-01T00:33:23.000,168.0
1903-01-01T00:00:00.000,128870.23333333332
1905-01-01T00:00:00.000,9651.214285714286
1906-01-01T00:00:00.000,33200.838461538464
1901-01-01T00:00:00.000,14646.3
1902-01-01T00:00:00.000,1313086.9166666667
2009-01-01,106.3
1900-01-01T00:00:00.000,6139.558823529412
1741-01-01T00:00:00.000,14360.0
1740-01-01T00:00:00.000,24700.0
1911-01-01T00:00:00.000,2188196.0818181816
0861-01-01T00:00:00.000,472.0
1912-01-01T00:00:00.000,49210.833333333336
1910-01-01T00:00:00.000,6647.215789473685
1909-01-01T00:00:00.000,236914.27272727274
1908-01-01T00:00:00.000,124110.75
1907-01-01T00:00:00.000,38405.5
2008-01-01T00:00:00.000,1512.933801462905
1861-01-01T00:00:00.000,660244.5
1917-01-01T00:00:00.000,84805.30833333333
1969-01-01T00:00:00.000,38450.6776119403
1890-01-01T00:00:00.000,93267.75
1749-01-01T00:00:00.000,700000.0
1975-01-01T00:00:00.000,1014.6819642857143
1855-01-01T00:00:00.000,23349.555555555555
1803-01-01T00:00:00.000,13933.333333333334
1990-01-01T00:00:00.000,576.710640686922
1923-01-01T00:00:00.000,49740.0
2000-01-01T00:00:00.000,3187.079209994385
1832-01-01T00:00:00.000,74800.0
1998-01-01T00:00:00.000,987.9257439684884
1946-01-01T00:00:00.000,21471.45
1884-01-01T00:00:00.000,78805.6
1984-01-01T00:00:00.000,2027.6095511221947
1846-01-01T00:00:00.000,39725.71428571428
1926-01-01T00:00:00.000,11894.115384615385
1852-01-01T00:00:00.000,3048823.75
1978-01-01T00:00:00.000,3010.6476923076925
1841-01-01T00:00:00.000,10875.0
1937-01-01T00:00:00.000,53533.74423076923
1989-01-01T00:00:00.000,3495.5148148148146
1893-01-01T00:00:00.000,9824.166666666666
1621-01-01T00:00:00.000,1967.0
1981-01-01T00:00:00.000,4532.204718614718
1849-01-01T00:00:00.000,8369.1
1898-01-01T00:00:00.000,1655723.1470588236
1932-01-01T00:00:00.000,18412.976000000002
1887-01-01T00:00:00.000,56856.95238095238
1943-01-01T00:00:00.000,18362.7
1858-01-01T00:00:00.000,99977.875
1972-01-01T00:00:00.000,11132.334375
1970-01-01T00:00:00.000,8402.108510638298
1966-01-01T00:00:00.000,25139.454545454544
1864-01-01T00:00:00.000,133962.5
-35,139.5
1796-01-01T00:00:00.000,3175.0
1964-01-01T00:00:00.000,17137.367741935486
1866-01-01T00:00:00.000,75466.83333333333
1881-01-01T00:00:00.000,38714.7
1798-01-01T00:00:00.000,6350.0
1773-01-01T00:00:00.000,4000.0
1941-01-01T00:00:00.000,30087.66956521739
34567890,45.5
1889-01-01T00:00:00.000,45811.01333333333
1775-01-01T00:00:00.000,2900.0
1949-01-01T00:00:00.000,18144.545454545456
1957-01-01T00:00:00.000,44219.24705882353
1790-01-01T00:00:00.000,6400.0
1873-01-01T00:00:00.000,47122.0
1600-01-01T00:00:00.000,1.01E7
